log,arm,task,n_labels,n_train_samples,seed,value,run
BPI20ID,pfm,remaining_count,300,300,1,1.4995635747909546,2026-09-11T10:23:57
BPI20ID,pfm,remaining_count,300,300,2,1.677851676940918,2026-09-11T10:25:26
BPI20ID,pfm,remaining_count,5000,4514,0,1.341295838356018,2026-09-11T10:23:06
BPI20ID,pfm,remaining_count,5000,4514,1,1.3298399448394775,2026-09-11T10:23:57
BPI20ID,pfm,remaining_count,5000,4514,2,1.3129690885543823,2026-09-11T10:25:26
BPI20ID,pfm,remaining_count,all,4514,0,1.341295838356018,2026-09-11T10:23:06
BPI20ID,pfm,remaining_count,all,4514,1,1.3298399448394775,2026-09-11T10:23:57
BPI20ID,pfm,remaining_count,all,4514,2,1.3129690885543823,2026-09-11T10:25:26
BPI20ID,pfm,remaining_time,0,0,0,24.252687454223633,2026-09-11T10:23:06
BPI20ID,pfm,remaining_time,0,0,1,24.252687454223633,2026-09-11T10:23:57
BPI20ID,pfm,remaining_time,0,0,2,24.252681732177734,2026-09-11T10:25:26
BPI20ID,pfm,remaining_time,10,10,0,24.23769760131836,2026-09-11T10:23:06
BPI20ID,pfm,remaining_time,10,10,1,24.241018295288086,2026-09-11T10:23:57
BPI20ID,pfm,remaining_time,10,10,2,24.236703872680664,2026-09-11T10:25:26
BPI20ID,pfm,remaining_time,100,100,0,24.236759185791016,2026-09-11T10:23:06
BPI20ID,pfm,remaining_time,100,100,1,24.226470947265625,2026-09-11T10:23:57
BPI20ID,pfm,remaining_time,100,100,2,24.227460861206055,2026-09-11T10:25:26
BPI20ID,pfm,remaining_time,1000,1000,0,14.07305908203125,2026-09-11T10:23:06
BPI20ID,pfm,remaining_time,1000,1000,1,13.361075401306152,2026-09-11T10:23:57
BPI20ID,pfm,remaining_time,1000,1000,2,13.924927711486816,2026-09-11T10:25:26
BPI20ID,pfm,remaining_time,30,30,0,24.23960304260254,2026-09-11T10:23:06
BPI20ID,pfm,remaining_time,30,30,1,24.225467681884766,2026-09-11T10:23:57
BPI20ID,pfm,remaining_time,30,30,2,24.225746154785156,2026-09-11T10:25:26
BPI20ID,pfm,remaining_time,300,300,0,14.058359146118164,2026-09-11T10:23:06
BPI20ID,pfm,remaining_time,300,300,1,15.116220474243164,2026-09-11T10:23:57
BPI20ID,pfm,remaining_time,300,300,2,14.816631317138672,2026-09-11T10:25:26
BPI20ID,pfm,remaining_time,5000,4514,0,13.71867561340332,2026-09-11T10:23:06
BPI20ID,pfm,remaining_time,5000,4514,1,13.58076286315918,2026-09-11T10:23:57
BPI20ID,pfm,remaining_time,5000,4514,2,13.6592378616333,2026-09-11T10:25:26
BPI20ID,pfm,remaining_time,all,4514,0,13.71867561340332,2026-09-11T10:23:06
