log,arm,task,n_labels,n_train_samples,seed,value,run
BPI17,pfm,next_activity,10,10,1,0.6200299263000488,2026-09-06T20:39:16
BPI17,pfm,next_activity,10,10,2,0.6221527457237244,2026-09-06T20:54:59
BPI17,pfm,next_activity,100,100,0,0.6502951979637146,2026-09-06T20:35:45
BPI17,pfm,next_activity,100,100,1,0.6337035298347473,2026-09-06T20:39:16
BPI17,pfm,next_activity,100,100,2,0.6447691321372986,2026-09-06T20:54:59
BPI17,pfm,next_activity,1000,1000,0,0.7613620758056641,2026-09-06T20:35:45
BPI17,pfm,next_activity,1000,1000,1,0.7354570627212524,2026-09-06T20:39:16
BPI17,pfm,next_activity,1000,1000,2,0.75076824426651,2026-09-06T20:54:59
BPI17,pfm,next_activity,30,30,0,0.654587984085083,2026-09-06T20:35:45
BPI17,pfm,next_activity,30,30,1,0.6193155646324158,2026-09-06T20:39:16
BPI17,pfm,next_activity,30,30,2,0.6413524150848389,2026-09-06T20:54:59
BPI17,pfm,next_activity,300,300,0,0.7206175923347473,2026-09-06T20:35:45
BPI17,pfm,next_activity,300,300,1,0.7099630832672119,2026-09-06T20:39:16
BPI17,pfm,next_activity,300,300,2,0.7063643932342529,2026-09-06T20:54:59
BPI17,pfm,next_activity,5000,5000,0,0.7908523678779602,2026-09-06T20:35:45
BPI17,pfm,next_activity,5000,5000,1,0.7782098054885864,2026-09-06T20:39:16
BPI17,pfm,next_activity,5000,5000,2,0.785481333732605,2026-09-06T20:54:59
BPI17,pfm,next_activity,all,20446,0,0.7944645285606384,2026-09-06T20:35:45
BPI17,pfm,next_activity,all,20446,1,0.796809732913971,2026-09-06T20:39:16
BPI17,pfm,next_activity,all,20446,2,0.7953675389289856,2026-09-06T20:54:59
BPI17,pfm,next_time,0,0,0,0.5920195579528809,2026-09-06T20:35:45
BPI17,pfm,next_time,0,0,1,0.5920200943946838,2026-09-06T20:39:16
BPI17,pfm,next_time,0,0,2,0.5920200347900391,2026-09-06T20:54:59
BPI17,pfm,next_time,10,10,0,0.5919758677482605,2026-09-06T20:35:45
BPI17,pfm,next_time,10,10,1,0.5918917655944824,2026-09-06T20:39:16
BPI17,pfm,next_time,10,10,2,0.5919786095619202,2026-09-06T20:54:59
BPI17,pfm,next_time,100,100,0,0.5919080376625061,2026-09-06T20:35:45
BPI17,pfm,next_time,100,100,1,0.5918819904327393,2026-09-06T20:39:16
BPI17,pfm,next_time,100,100,2,0.5918986797332764,2026-09-06T20:54:59
BPI17,pfm,next_time,1000,1000,0,0.5833525061607361,2026-09-06T20:35:45
BPI17,pfm,next_time,1000,1000,1,0.5842735171318054,2026-09-06T20:39:16
BPI17,pfm,next_time,1000,1000,2,0.580101490020752,2026-09-06T20:54:59
BPI17,pfm,next_time,30,30,0,0.5918546319007874,2026-09-06T20:35:45
BPI17,pfm,next_time,30,30,1,0.591954231262207,2026-09-06T20:39:16
BPI17,pfm,next_time,30,30,2,0.5919318795204163,2026-09-06T20:54:59
BPI17,pfm,next_time,300,300,0,0.5910313129425049,2026-09-06T20:35:45
BPI17,pfm,next_time,300,300,1,0.5874631404876709,2026-09-06T20:39:16
BPI17,pfm,next_time,300,300,2,0.59125155210495,2026-09-06T20:54:59
BPI17,pfm,next_time,5000,5000,0,0.5800855755805969,2026-09-06T20:35:45
BPI17,pfm,next_time,5000,5000,1,0.586500346660614,2026-09-06T20:39:16
BPI17,pfm,next_time,5000,5000,2,0.5611006021499634,2026-09-06T20:54:59
BPI17,pfm,next_time,all,20446,0,0.5829649567604065,2026-09-06T20:35:45
BPI17,pfm,next_time,all,20446,1,0.5848298072814941,2026-09-06T20:39:16
BPI17,pfm,next_time,all,20446,2,0.578643798828125,2026-09-06T20:54:59
BPI17,pfm,remaining_count,0,0,0,18.886613845825195,2026-09-06T20:35:45
BPI17,pfm,remaining_count,0,0,1,19.091327667236328,2026-09-06T20:39:16
BPI17,pfm,remaining_count,0,0,2,19.24669647216797,2026-09-06T20:54:59
